Date : 2023-09-09 12:52:47
Directory : /Users/max/Documents/Code/mastela-site
Total : 87 files,  7085 codes, 534 comments, 689 blanks, all 8308 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         42 |      5,114 |        193 |        432 |      5,739 |
| TypeScript         |         32 |      1,432 |        293 |        183 |      1,908 |
| HTML               |          1 |        169 |          4 |         30 |        203 |
| JavaScript         |          6 |         97 |         33 |         17 |        147 |
| CSV                |          1 |         93 |          0 |          0 |         93 |
| JSON               |          1 |         72 |          0 |          1 |         73 |
| Prisma             |          1 |         45 |          2 |          8 |         55 |
| JSON with Comments |          1 |         25 |          9 |          0 |         34 |
| CSS                |          1 |         21 |          0 |          6 |         27 |
| Markdown           |          1 |         17 |          0 |         12 |         29 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |         87 |      7,085 |        534 |        689 |      8,308 |
| . (Files)                                                                              |         12 |        516 |         34 |         61 |        611 |
| .sanity                                                                                |          2 |        176 |          6 |         33 |        215 |
| .sanity/runtime                                                                        |          2 |        176 |          6 |         33 |        215 |
| prisma                                                                                 |          1 |         45 |          2 |          8 |         55 |
| sanity                                                                                 |         10 |        474 |         29 |         29 |        532 |
| sanity (Files)                                                                         |          2 |         26 |          0 |          9 |         35 |
| sanity/lib                                                                             |          3 |         24 |          0 |          7 |         31 |
| sanity/schemas                                                                         |          5 |        424 |         29 |         13 |        466 |
| src                                                                                    |         62 |      5,874 |        463 |        558 |      6,895 |
| src (Files)                                                                            |          1 |         31 |         17 |          5 |         53 |
| src/components                                                                         |         23 |      2,078 |        109 |        137 |      2,324 |
| src/components (Files)                                                                 |          4 |        556 |         64 |         24 |        644 |
| src/components/blog                                                                    |          4 |        339 |          4 |         29 |        372 |
| src/components/home                                                                    |          8 |        733 |         15 |         38 |        786 |
| src/components/property                                                                |          2 |        221 |         17 |         17 |        255 |
| src/components/search                                                                  |          3 |        190 |          9 |         26 |        225 |
| src/components/shared                                                                  |          2 |         39 |          0 |          3 |         42 |
| src/pages                                                                              |         20 |      3,147 |         93 |        306 |      3,546 |
| src/pages (Files)                                                                      |         12 |      1,871 |         48 |        154 |      2,073 |
| src/pages/api                                                                          |          2 |        131 |          9 |         19 |        159 |
| src/pages/api/stripe                                                                   |          1 |        115 |          8 |         17 |        140 |
| src/pages/api/trpc                                                                     |          1 |         16 |          1 |          2 |         19 |
| src/pages/cape-coral-guide                                                             |          2 |        273 |          5 |         36 |        314 |
| src/pages/cape-coral-guides                                                            |          2 |        135 |          8 |         32 |        175 |
| src/pages/property                                                                     |          1 |        721 |         23 |         64 |        808 |
| src/pages/studio                                                                       |          1 |         16 |          0 |          1 |         17 |
| src/server                                                                             |          7 |        441 |        199 |         66 |        706 |
| src/server (Files)                                                                     |          2 |         23 |          0 |          7 |         30 |
| src/server/api                                                                         |          5 |        418 |        199 |         59 |        676 |
| src/server/api (Files)                                                                 |          3 |         44 |         62 |         14 |        120 |
| src/server/api/routers                                                                 |          2 |        374 |        137 |         45 |        556 |
| src/styles                                                                             |          1 |         21 |          0 |          6 |         27 |
| src/utils                                                                              |         10 |        156 |         45 |         38 |        239 |
| src/utils (Files)                                                                      |          2 |         59 |         38 |         11 |        108 |
| src/utils/functions                                                                    |          8 |         97 |          7 |         27 |        131 |
| src/utils/functions (Files)                                                            |          4 |         58 |          1 |         16 |         75 |
| src/utils/functions/dates                                                              |          4 |         39 |          6 |         11 |         56 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                               | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
